"Scenario","Replicate","Final_Abundance"
"Northern_brown_bandicoot_mod_disp_recorded_fires",47,8880.36708421581
"Northern_brown_bandicoot_mod_disp_recorded_fires",48,15222.5390747618
"Northern_brown_bandicoot_mod_disp_recorded_fires",49,11301.8780160832
"Northern_brown_bandicoot_mod_disp_recorded_fires",50,5357.73506881751
"Northern_brown_bandicoot_mod_disp_recorded_fires",51,10544.2411788758
"Northern_brown_bandicoot_mod_disp_recorded_fires",52,10592.077877871
"Northern_brown_bandicoot_mod_disp_recorded_fires",53,13492.7423106921
"Northern_brown_bandicoot_mod_disp_recorded_fires",54,12892.057867344
"Northern_brown_bandicoot_mod_disp_recorded_fires",55,6542.98531195086
"Northern_brown_bandicoot_mod_disp_recorded_fires",56,9994.52751384818
"Northern_brown_bandicoot_mod_disp_recorded_fires",57,3769.44485875578
"Northern_brown_bandicoot_mod_disp_recorded_fires",58,8176.58509263575
"Northern_brown_bandicoot_mod_disp_recorded_fires",59,21253.8778967601
"Northern_brown_bandicoot_mod_disp_recorded_fires",60,8885.41084182934
"Northern_brown_bandicoot_mod_disp_recorded_fires",61,22124.3544598328
"Northern_brown_bandicoot_mod_disp_recorded_fires",62,14582.3524155318
"Northern_brown_bandicoot_mod_disp_recorded_fires",63,15906.1679178352
"Northern_brown_bandicoot_mod_disp_recorded_fires",64,8336.32696181397
"Northern_brown_bandicoot_mod_disp_recorded_fires",65,19472.3230028947
"Northern_brown_bandicoot_mod_disp_recorded_fires",66,11457.8106838962
"Northern_brown_bandicoot_mod_disp_recorded_fires",67,10951.5266710526
"Northern_brown_bandicoot_mod_disp_recorded_fires",68,10061.7727882192
"Northern_brown_bandicoot_mod_disp_recorded_fires",69,6083.68834118278
"Northern_brown_bandicoot_mod_disp_recorded_fires",70,3916.57305805681
"Northern_brown_bandicoot_mod_disp_recorded_fires",71,7042.32126686581
"Northern_brown_bandicoot_mod_disp_recorded_fires",72,25679.4133850188
"Northern_brown_bandicoot_mod_disp_recorded_fires",73,16241.8944750834
"Northern_brown_bandicoot_mod_disp_recorded_fires",74,7780.79246490642
"Northern_brown_bandicoot_mod_disp_recorded_fires",75,12820.5943851729
"Northern_brown_bandicoot_mod_disp_recorded_fires",76,5463.54934203446
"Northern_brown_bandicoot_mod_disp_recorded_fires",77,2880.45231675631
"Northern_brown_bandicoot_mod_disp_recorded_fires",78,7843.03169427271
"Northern_brown_bandicoot_mod_disp_recorded_fires",79,16731.205625062
"Northern_brown_bandicoot_mod_disp_recorded_fires",80,14162.0195300774
"Northern_brown_bandicoot_mod_disp_recorded_fires",81,17885.4315971679
"Northern_brown_bandicoot_mod_disp_recorded_fires",82,10801.3443410792
"Northern_brown_bandicoot_mod_disp_recorded_fires",83,10608.7630516923
"Northern_brown_bandicoot_mod_disp_recorded_fires",84,11742.1910731333
"Northern_brown_bandicoot_mod_disp_recorded_fires",85,10359.723921925
"Northern_brown_bandicoot_mod_disp_recorded_fires",86,5456.86822162155
"Northern_brown_bandicoot_mod_disp_recorded_fires",87,15692.0070332422
"Northern_brown_bandicoot_mod_disp_recorded_fires",88,5235.32862970731
"Northern_brown_bandicoot_mod_disp_recorded_fires",89,7578.75676705871
"Northern_brown_bandicoot_mod_disp_recorded_fires",90,4391.08167508893
"Northern_brown_bandicoot_mod_disp_recorded_fires",91,20342.1939437918
"Northern_brown_bandicoot_mod_disp_recorded_fires",92,13049.0233588933
"Northern_brown_bandicoot_mod_disp_recorded_fires",93,11853.2666785451
"Northern_brown_bandicoot_mod_disp_recorded_fires",94,19409.7826203441
"Northern_brown_bandicoot_mod_disp_recorded_fires",95,36166.8839578422
"Northern_brown_bandicoot_mod_disp_recorded_fires",96,7452.33792304572
"Northern_brown_bandicoot_mod_disp_recorded_fires",97,5309.26908858558
"Northern_brown_bandicoot_mod_disp_recorded_fires",98,13418.8663452694
"Northern_brown_bandicoot_mod_disp_recorded_fires",99,15795.5407835945
